000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "./datalink-A.log", TCP port 59144, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.309 New epoch: Tue May 24 21:06:45 2022
000.309 =================================================================
000.309 
000.309 Designed by 2020212900 Ling Zichao, based on Pro.Jiang's. build: May 24 2022  21:06:28
004.533 .... 1 packets received, 518 bps, 6.48%, Err 1 (3.0e-05)
006.674 .... 22 packets received, 7394 bps, 92.42%, Err 2 (3.9e-05)
008.803 .... 30 packets received, 7472 bps, 93.40%, Err 2 (3.0e-05)
010.970 .... 38 packets received, 7490 bps, 93.63%, Err 2 (2.4e-05)
013.110 .... 46 packets received, 7519 bps, 93.99%, Err 2 (2.0e-05)
015.220 .... 54 packets received, 7554 bps, 94.43%, Err 2 (1.7e-05)
017.338 .... 62 packets received, 7577 bps, 94.71%, Err 2 (1.5e-05)
019.516 .... 70 packets received, 7571 bps, 94.63%, Err 2 (1.3e-05)
021.645 .... 78 packets received, 7583 bps, 94.79%, Err 2 (1.2e-05)
023.739 .... 86 packets received, 7605 bps, 95.06%, Err 2 (1.1e-05)
025.868 .... 94 packets received, 7613 bps, 95.16%, Err 2 (9.8e-06)
027.956 .... 102 packets received, 7631 bps, 95.38%, Err 2 (9.1e-06)
030.091 .... 110 packets received, 7634 bps, 95.42%, Err 2 (8.4e-06)
032.235 .... 118 packets received, 7634 bps, 95.43%, Err 2 (7.8e-06)
034.385 .... 126 packets received, 7633 bps, 95.42%, Err 2 (7.3e-06)
036.517 .... 134 packets received, 7636 bps, 95.46%, Err 2 (6.9e-06)
038.657 .... 142 packets received, 7638 bps, 95.47%, Err 2 (6.5e-06)
040.747 .... 150 packets received, 7648 bps, 95.60%, Err 2 (6.2e-06)
042.853 .... 158 packets received, 7655 bps, 95.68%, Err 3 (8.8e-06)
045.018 .... 166 packets received, 7650 bps, 95.63%, Err 3 (8.4e-06)
047.177 .... 174 packets received, 7648 bps, 95.59%, Err 3 (8.0e-06)
049.322 .... 182 packets received, 7647 bps, 95.59%, Err 4 (1.0e-05)
051.434 .... 190 packets received, 7652 bps, 95.65%, Err 4 (9.8e-06)
053.540 .... 198 packets received, 7657 bps, 95.71%, Err 4 (9.4e-06)
055.653 .... 206 packets received, 7661 bps, 95.76%, Err 4 (9.0e-06)
057.783 .... 214 packets received, 7662 bps, 95.77%, Err 4 (8.7e-06)
059.875 .... 222 packets received, 7668 bps, 95.85%, Err 5 (1.0e-05)
063.850 .... 223 packets received, 7218 bps, 90.23%, Err 5 (9.8e-06)
065.940 .... 244 packets received, 7646 bps, 95.57%, Err 5 (9.5e-06)
068.067 .... 252 packets received, 7647 bps, 95.59%, Err 5 (9.2e-06)
070.178 .... 260 packets received, 7651 bps, 95.63%, Err 5 (8.9e-06)
072.277 .... 268 packets received, 7655 bps, 95.69%, Err 5 (8.7e-06)
074.403 .... 276 packets received, 7657 bps, 95.71%, Err 5 (8.4e-06)
076.513 .... 284 packets received, 7660 bps, 95.75%, Err 5 (8.2e-06)
078.632 .... 292 packets received, 7662 bps, 95.77%, Err 5 (8.0e-06)
080.812 .... 300 packets received, 7658 bps, 95.72%, Err 6 (9.3e-06)
084.790 .... 301 packets received, 7320 bps, 91.50%, Err 6 (8.9e-06)
086.895 .... 322 packets received, 7640 bps, 95.50%, Err 6 (8.7e-06)
089.026 .... 330 packets received, 7641 bps, 95.52%, Err 6 (8.5e-06)
091.166 .... 338 packets received, 7642 bps, 95.52%, Err 6 (8.3e-06)
095.956 .... 342 packets received, 7344 bps, 91.80%, Err 8 (1.0e-05)
099.134 .... 354 packets received, 7356 bps, 91.95%, Err 8 (1.0e-05)
101.244 .... 374 packets received, 7609 bps, 95.11%, Err 8 (9.9e-06)
103.359 .... 382 packets received, 7612 bps, 95.15%, Err 8 (9.7e-06)
105.466 .... 390 packets received, 7615 bps, 95.19%, Err 8 (9.5e-06)
107.586 .... 398 packets received, 7617 bps, 95.22%, Err 8 (9.3e-06)
109.700 .... 406 packets received, 7620 bps, 95.25%, Err 8 (9.1e-06)
111.796 .... 414 packets received, 7624 bps, 95.30%, Err 8 (9.0e-06)
113.922 .... 422 packets received, 7625 bps, 95.32%, Err 8 (8.8e-06)
116.096 .... 430 packets received, 7624 bps, 95.29%, Err 8 (8.6e-06)
118.223 .... 438 packets received, 7625 bps, 95.31%, Err 9 (9.5e-06)
122.738 .... 441 packets received, 7393 bps, 92.42%, Err 10 (1.0e-05)
124.846 .... 462 packets received, 7614 bps, 95.18%, Err 10 (1.0e-05)
126.937 .... 470 packets received, 7618 bps, 95.22%, Err 10 (9.9e-06)
129.055 .... 478 packets received, 7620 bps, 95.25%, Err 10 (9.7e-06)
131.166 .... 486 packets received, 7622 bps, 95.28%, Err 10 (9.6e-06)
133.291 .... 494 packets received, 7623 bps, 95.29%, Err 10 (9.4e-06)
135.384 .... 502 packets received, 7627 bps, 95.33%, Err 10 (9.3e-06)
137.507 .... 510 packets received, 7628 bps, 95.35%, Err 10 (9.1e-06)
139.631 .... 518 packets received, 7629 bps, 95.37%, Err 10 (9.0e-06)
141.771 .... 526 packets received, 7630 bps, 95.37%, Err 10 (8.8e-06)
143.826 .... 534 packets received, 7635 bps, 95.43%, Err 10 (8.7e-06)
148.318 .... 537 packets received, 7444 bps, 93.05%, Err 11 (9.3e-06)
150.455 .... 558 packets received, 7625 bps, 95.31%, Err 11 (9.2e-06)
152.564 .... 566 packets received, 7627 bps, 95.34%, Err 11 (9.0e-06)
154.691 .... 574 packets received, 7628 bps, 95.35%, Err 11 (8.9e-06)
156.838 .... 582 packets received, 7628 bps, 95.35%, Err 11 (8.8e-06)
159.002 .... 590 packets received, 7627 bps, 95.34%, Err 11 (8.7e-06)
161.099 .... 598 packets received, 7630 bps, 95.37%, Err 11 (8.6e-06)
163.236 .... 606 packets received, 7630 bps, 95.38%, Err 11 (8.4e-06)
165.400 .... 614 packets received, 7629 bps, 95.37%, Err 11 (8.3e-06)
167.534 .... 622 packets received, 7630 bps, 95.37%, Err 11 (8.2e-06)
169.694 .... 630 packets received, 7629 bps, 95.37%, Err 11 (8.1e-06)
174.750 .... 635 packets received, 7467 bps, 93.33%, Err 13 (9.3e-06)
176.915 .... 655 packets received, 7607 bps, 95.09%, Err 13 (9.2e-06)
179.051 .... 663 packets received, 7608 bps, 95.10%, Err 13 (9.1e-06)
181.226 .... 671 packets received, 7607 bps, 95.09%, Err 13 (9.0e-06)
183.332 .... 679 packets received, 7609 bps, 95.11%, Err 13 (8.9e-06)
189.232 .... 687 packets received, 7458 bps, 93.23%, Err 14 (9.3e-06)
191.395 .... 708 packets received, 7599 bps, 94.99%, Err 14 (9.2e-06)
196.499 ** WARNING: System too busy, sleep 15 ms, but be awakened 82 ms later
197.250 .... 716 packets received, 7456 bps, 93.20%, Err 15 (9.5e-06)
199.373 .... 737 packets received, 7593 bps, 94.91%, Err 15 (9.4e-06)
201.475 .... 745 packets received, 7595 bps, 94.94%, Err 15 (9.3e-06)
203.609 .... 753 packets received, 7596 bps, 94.95%, Err 16 (9.8e-06)
207.579 .... 754 packets received, 7460 bps, 93.25%, Err 17 (1.0e-05)
209.736 .... 774 packets received, 7579 bps, 94.74%, Err 17 (1.0e-05)
211.869 .... 782 packets received, 7580 bps, 94.75%, Err 17 (1.0e-05)
216.357 .... 785 packets received, 7451 bps, 93.13%, Err 18 (1.0e-05)
218.486 .... 806 packets received, 7575 bps, 94.69%, Err 18 (1.0e-05)
220.582 .... 814 packets received, 7578 bps, 94.72%, Err 18 (1.0e-05)
222.692 .... 822 packets received, 7579 bps, 94.74%, Err 18 (1.0e-05)
224.792 .... 830 packets received, 7581 bps, 94.77%, Err 18 (1.0e-05)
226.940 .... 838 packets received, 7582 bps, 94.77%, Err 19 (1.0e-05)
230.975 .... 839 packets received, 7458 bps, 93.22%, Err 19 (1.0e-05)
233.089 .... 860 packets received, 7575 bps, 94.69%, Err 20 (1.1e-05)
235.280 .... 868 packets received, 7574 bps, 94.68%, Err 20 (1.1e-05)
237.409 .... 876 packets received, 7575 bps, 94.69%, Err 20 (1.1e-05)
239.510 .... 884 packets received, 7577 bps, 94.72%, Err 20 (1.0e-05)
241.621 .... 892 packets received, 7579 bps, 94.74%, Err 20 (1.0e-05)
247.448 .... 900 packets received, 7466 bps, 93.33%, Err 21 (1.1e-05)
249.594 .... 921 packets received, 7575 bps, 94.68%, Err 21 (1.1e-05)
251.740 .... 929 packets received, 7575 bps, 94.69%, Err 21 (1.0e-05)
253.857 .... 937 packets received, 7577 bps, 94.71%, Err 21 (1.0e-05)
255.976 .... 945 packets received, 7578 bps, 94.72%, Err 21 (1.0e-05)
258.091 .... 953 packets received, 7579 bps, 94.74%, Err 21 (1.0e-05)
260.205 .... 961 packets received, 7581 bps, 94.76%, Err 21 (1.0e-05)
262.305 .... 969 packets received, 7582 bps, 94.78%, Err 21 (1.0e-05)
264.468 .... 977 packets received, 7582 bps, 94.78%, Err 21 (9.9e-06)
266.635 .... 985 packets received, 7582 bps, 94.78%, Err 21 (9.9e-06)
268.736 .... 993 packets received, 7584 bps, 94.80%, Err 21 (9.8e-06)
273.738 .... 998 packets received, 7482 bps, 93.53%, Err 22 (1.0e-05)
278.511 .... 1015 packets received, 7479 bps, 93.49%, Err 23 (1.0e-05)
280.630 .... 1036 packets received, 7576 bps, 94.70%, Err 23 (1.0e-05)
282.736 .... 1044 packets received, 7578 bps, 94.72%, Err 23 (1.0e-05)
